PRIM_STATE,mean_annual_salary
NC,"58,110"
SC,"65,880"
MS,"71,820"
MD,"79,390"
LA,"50,540"
PA,"79,300"
LA,"60,000"
TX,"69,280"
WV,"70,120"
AL,"108,610"
ID,"115,010"
IN,"81,550"
IA,"71,440"
MS,"62,770"
FL,"65,780"
MO,"52,100"
TN,"50,970"
MI,"63,930"
MO,"72,860"
WA,"76,210"
TX,"71,510"
TN,"75,340"
TN,"71,330"
LA,"63,750"
LA,"56,480"
FL,"57,780"
PA,"71,020"
MI,"76,290"
TX,"63,360"
NV,"77,830"
KS,"53,820"
OK,"71,160"
PA,"73,680"
KY,"72,380"
NE,"72,930"
AR,"66,570"
TX,"52,230"
CA,"93,030"
KY,"70,630"
TX,"70,360"
GA,"58,440"
WI,"60,440"
TX,"55,790"
OR,"85,640"
TN,"71,050"
CA,*
FL,"63,060"
TX,"83,730"
WI,"55,470"
MN,"85,100"
CA,"69,350"
LA,"52,020"
AL,"85,370"
WV,"73,130"
CA,"76,940"
FL,"79,550"
TN,"73,380"
LA,"73,710"
NY,"115,360"
FL,"66,250"
FL,"63,720"
UT,"80,570"
OK,"82,040"
WA,"85,710"
NE,"72,830"
FL,"65,020"
CA,"83,470"
FL,"77,540"
FL,"71,430"
WV,"82,780"
FL,"72,030"
IL,"82,760"
PA,"85,310"
AZ,"80,090"
PA,"69,580"
OR,"92,080"
FL,"59,140"
UT,"61,510"
CO,"74,760"
NC,"70,300"
SD,"74,830"
PA,"73,340"
CA,"106,250"
NV,"83,810"
VA,"71,790"
CA,"66,150"
VA,"64,400"
NY,"71,200"
IL,"66,600"
CA,"84,890"
MI,"79,690"
MN,"82,630"
MO,"56,650"
MO,"81,050"
CA,"86,530"
MD,"87,800"
UT,"66,420"
TX,"54,980"
TX,"66,890"
CA,"83,960"
CA,"102,210"
CA,"119,900"
PR,"49,540"
CA,"72,460"
CA,"72,320"
NM,"53,950"
CA,"67,870"
CA,"75,540"
GA,"68,600"
PA,"71,740"
WA,"88,030"
LA,"66,720"
IN,"66,670"
WA,"71,060"
IL,"86,870"
MO,"57,920"
CA,"80,740"
NY,"70,470"
FL,"54,800"
FL,"62,830"
TX,"63,580"
OH,"68,090"
KS,"66,110"
NJ,"88,650"
AZ,"66,040"
OK,"61,570"
TX,"76,030"
HI,"77,240"
NY,"72,610"
CA,"76,920"
NJ,"82,180"
VA,"81,220"
CA,"64,940"
TX,"69,000"
GA,"87,190"
DC,"111,770"
IA,"69,110"
WV,"59,520"
KS,"54,980"
TX,"63,610"
NC,"57,900"
VA,"86,230"
NC,"65,880"
WA,"74,350"
PA,"92,400"
OH,"73,510"
ME,"64,720"
MA,"103,640"
CT,"143,730"
VT,"80,790"
CT,"113,420"
CT,"92,190"
NH,"95,880"
CT,"100,290"
CT,"95,220"
ME,"68,130"
NH,"83,300"
RI,"87,060"
MA,"73,930"
MA,"67,730"
OH,"91,410"
NY,"86,270"
NM,"97,060"
PA,"75,810"
TX,"74,770"
AK,"85,820"
MI,"98,910"
WI,"76,420"
GA,"71,470"
GA,"84,030"
NJ,"109,900"
GA,"78,040"
TX,"90,520"
CA,"97,870"
MD,"95,040"
LA,"63,280"
TX,"87,510"
OR,"86,580"
AL,"88,400"
ID,"72,060"
CO,"94,500"
NY,"81,210"
MD,"121,690"
OH,"78,360"
FL,"68,990"
IA,"70,290"
IL,"93,450"
WV,"55,380"
SC,"101,370"
NC,"97,980"
VA,"98,930"
TN,"71,570"
IL,"100,360"
OH,"89,010"
OH,"87,720"
TX,"71,910"
CO,"107,130"
MO,"68,310"
SC,"75,630"
GA,"85,930"
OH,"98,090"
TX,*
FL,"101,100"
TX,"116,790"
IA,"95,200"
OH,"100,330"
IL,"86,630"
FL,"62,340"
CO,"96,200"
IA,"68,550"
MI,"92,730"
DE,"91,500"
MN,"70,230"
NC,"116,930"
WI,"78,430"
KY,"96,000"
TX,"75,690"
OR,"80,330"
ND,"88,510"
AR,"74,550"
IN,"75,280"
CA,"85,710"
FL,"79,730"
GA,"70,740"
MI,"74,350"
WI,"88,680"
NC,"82,400"
SC,"75,020"
MS,*
MD,"85,040"
PA,"79,280"
TX,"106,060"
WV,"66,860"
AL,"122,020"
IN,"77,430"
MS,"78,260"
FL,"72,430"
WI,"81,270"
TN,"67,490"
MI,"72,730"
MO,"83,980"
WA,"93,380"
TX,"89,470"
TN,"69,270"
WI,"71,880"
IN,"100,190"
FL,"68,580"
PA,"60,360"
MI,"104,710"
NM,"100,890"
NV,"91,600"
KY,"59,160"
NE,"84,980"
AR,"77,010"
TX,"88,910"
CA,"94,950"
KY,"73,720"
TX,"76,080"
VA,"99,930"
GA,"58,680"
WI,"97,780"
TX,"64,780"
TN,"81,370"
FL,"81,520"
TX,"126,830"
WI,"83,620"
MN,"98,080"
AL,"89,820"
FL,"71,480"
TN,"65,000"
LA,"97,500"
NY,"110,060"
FL,"76,260"
FL,"70,990"
UT,"87,070"
OK,"91,360"
WA,"74,590"
NE,"98,780"
FL,"91,090"
WI,"106,920"
CA,"92,940"
FL,"89,200"
FL,"99,620"
FL,"71,720"
IL,"109,280"
PA,"95,170"
AZ,"69,170"
PA,"78,260"
OR,"95,940"
FL,"74,720"
UT,"70,300"
NC,"90,410"
VA,"107,190"
CA,"91,760"
NY,"91,100"
IL,"101,630"
CA,"93,180"
MO,"86,050"
OR,"87,640"
MD,"94,030"
UT,"75,630"
TX,"97,700"
CA,"96,940"
CA,"108,270"
CA,"141,200"
CA,"97,110"
CA,"93,530"
GA,"74,240"
PA,"58,080"
WA,"95,290"
WI,"94,900"
IN,"79,610"
SC,"77,650"
WA,"73,080"
MO,"79,240"
CA,"86,060"
NY,"111,480"
FL,"45,560"
FL,"88,810"
OH,"89,860"
KS,"56,520"
NJ,"106,770"
AZ,"57,870"
OK,"83,360"
TX,"71,410"
HI,"105,140"
NY,"71,650"
VA,"107,780"
TX,"84,460"
GA,"85,630"
DC,"121,540"
WI,"78,710"
KS,"95,990"
VA,"74,520"
NC,"76,280"
AZ,"59,030"
ME,"70,200"
MA,"88,930"
CT,"113,380"
VT,"79,720"
NH,"103,350"
CT,"90,550"
ME,"85,640"
NH,"90,620"
CT,"100,810"
CT,"105,810"
ME,"79,160"
NH,"85,530"
RI,"80,640"
MA,"86,070"
MA,"85,690"
NY,"102,980"
NM,"64,760"
PA,"85,090"
MI,"96,470"
GA,"110,490"
TX,"90,630"
MD,"115,140"
LA,"67,790"
AL,"77,140"
CO,"96,520"
NY,"94,840"
SC,"73,610"
NC,"105,690"
VA,"91,580"
TN,"77,500"
IL,"107,900"
OH,"93,830"
OH,"84,100"
CO,"88,820"
SC,"73,730"
OH,"79,500"
TX,"95,510"
OH,"90,780"
CO,"92,510"
IA,"95,140"
MI,"110,720"
NC,"124,970"
CO,"89,490"
MI,"98,670"
SC,"63,920"
PA,"76,630"
TX,"91,680"
IN,"93,370"
IA,"74,410"
FL,"103,840"
MO,"68,650"
TN,"88,020"
MO,"99,410"
TN,"104,490"
MI,"81,960"
KY,"71,700"
NE,"77,680"
AR,"63,950"
CA,"116,710"
KY,"96,860"
WI,"88,670"
TN,"77,510"
FL,"83,640"
WI,"91,540"
MN,"89,920"
AL,"61,820"
TN,"88,260"
NY,"136,530"
OK,"62,910"
WA,"92,400"
NE,"86,370"
FL,"83,690"
PA,"100,050"
AZ,"84,850"
PA,"76,300"
OR,"88,300"
NC,"122,830"
VA,"76,680"
CA,"110,660"
NY,"104,230"
CA,"104,230"
MO,"90,640"
OR,"82,510"
UT,"83,490"
TX,"82,370"
CA,"127,850"
CA,"154,950"
CA,"163,680"
PR,"44,250"
WA,"112,160"
WA,"90,540"
PA,"75,880"
NY,"138,280"
FL,"44,850"
FL,"98,920"
NJ,"114,750"
AZ,"82,970"
HI,"74,760"
VA,"79,010"
DC,"119,800"
NC,"113,330"
NC,"106,190"
MA,"112,430"
CT,"176,420"
VT,"73,040"
CT,"109,240"
CT,"102,980"
RI,"95,960"
MA,"99,760"
MA,"91,550"
OH,"89,080"
NY,"100,750"
NM,"87,270"
PA,"96,250"
IA,"77,840"
AK,"106,390"
MI,"104,460"
WI,"88,030"
NC,"119,900"
