"","NAICS_TITLE","A_MEAN","category"
"404","Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","161,420","Retail and Wholesale Trade"
"405","Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","161,420","Retail and Wholesale Trade"
"406","Clothing and Clothing Accessories Retailers","92,730","Retail and Wholesale Trade"
"407","Clothing and Clothing Accessories Retailers","164,030","Retail and Wholesale Trade"
"408","Clothing and Clothing Accessories Retailers","164,030","Retail and Wholesale Trade"
"409","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","89,850","Retail and Wholesale Trade"
"410","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","74,510","Retail and Wholesale Trade"
"411","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","112,370","Retail and Wholesale Trade"
"412","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","108,060","Retail and Wholesale Trade"
"413","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","108,060","Retail and Wholesale Trade"
"414","Sporting Goods, Hobby, and Musical Instrument Retailers","68,880","Retail and Wholesale Trade"
"415","Sporting Goods, Hobby, and Musical Instrument Retailers","81,200","Retail and Wholesale Trade"
"416","Sporting Goods, Hobby, and Musical Instrument Retailers","81,200","Retail and Wholesale Trade"
"417","Sporting Goods Retailers","85,660","Retail and Wholesale Trade"
"418","Sporting Goods Retailers","85,660","Retail and Wholesale Trade"
"419","Other Miscellaneous Retailers","90,300","Retail and Wholesale Trade"
"420","Other Miscellaneous Retailers","80,780","Retail and Wholesale Trade"
"421","Other Miscellaneous Retailers","108,780","Retail and Wholesale Trade"
"422","Other Miscellaneous Retailers","108,780","Retail and Wholesale Trade"
"423","Air Transportation","81,290","Other Industries"
"424","Air Transportation","98,780","Other Industries"
"425","Air Transportation","98,780","Other Industries"
"426","Scheduled Air Transportation","84,210","Other Industries"
"427","Scheduled Air Transportation","105,330","Other Industries"
"428","Scheduled Air Transportation","105,330","Other Industries"
"429","Water Transportation","101,400","Other Industries"
"430","Water Transportation","129,300","Other Industries"
"431","Water Transportation","129,300","Other Industries"
"432","Deep Sea, Coastal, and Great Lakes Water Transportation","101,300","Other Industries"
"433","Deep Sea, Coastal, and Great Lakes Water Transportation","129,300","Other Industries"
"434","Deep Sea, Coastal, and Great Lakes Water Transportation","129,300","Other Industries"
"435","Truck Transportation","89,790","Other Industries"
"436","Truck Transportation","61,050","Other Industries"
"437","Truck Transportation","78,770","Other Industries"
"438","Truck Transportation","78,770","Other Industries"
"439","Truck Transportation","89,790","Other Industries"
"440","Truck Transportation","61,050","Other Industries"
"441","Truck Transportation","78,770","Other Industries"
"442","Truck Transportation","78,770","Other Industries"
"443","Pipeline Transportation","85,440","Other Industries"
"444","Pipeline Transportation","85,440","Other Industries"
"445","Pipeline Transportation of Natural Gas","85,440","Other Industries"
"446","Pipeline Transportation of Natural Gas","85,440","Other Industries"
"447","Support Activities for Transportation","79,340","Other Industries"
"448","Support Activities for Transportation","88,420","Other Industries"
"449","Support Activities for Transportation","101,560","Other Industries"
"450","Support Activities for Transportation","101,560","Other Industries"
"451","Support Activities for Air Transportation","81,070","Other Industries"
"452","Support Activities for Air Transportation","108,520","Other Industries"
"453","Support Activities for Air Transportation","91,670","Other Industries"
"454","Support Activities for Air Transportation","91,670","Other Industries"
"455","Freight Transportation Arrangement","79,470","Other Industries"
"456","Freight Transportation Arrangement","77,750","Other Industries"
"457","Freight Transportation Arrangement","108,720","Other Industries"
"458","Freight Transportation Arrangement","108,720","Other Industries"
"459","Postal Service (federal government)","104,310","Other Industries"
"460","Postal Service (federal government)","100,000","Other Industries"
"461","Postal Service (federal government)","89,390","Other Industries"
"462","Postal Service (federal government)","104,310","Other Industries"
"463","Postal Service (federal government)","100,000","Other Industries"
"464","Postal Service (federal government)","89,390","Other Industries"
"465","Couriers and Messengers","89,430","Other Industries"
"466","Couriers and Messengers","162,270","Other Industries"
"467","Couriers and Messengers","162,270","Other Industries"
"468","Couriers and Express Delivery Services","89,690","Other Industries"
"469","Couriers and Express Delivery Services","131,870","Other Industries"
"470","Couriers and Express Delivery Services","131,870","Other Industries"
"471","Warehousing and Storage","74,500","Other Industries"
"472","Warehousing and Storage","97,930","Other Industries"
"473","Warehousing and Storage","75,610","Other Industries"
"474","Warehousing and Storage","71,340","Other Industries"
"475","Warehousing and Storage","71,340","Other Industries"
"476","Warehousing and Storage","74,500","Other Industries"
"477","Warehousing and Storage","97,930","Other Industries"
"478","Warehousing and Storage","75,610","Other Industries"
"479","Warehousing and Storage","71,340","Other Industries"
"480","Warehousing and Storage","71,340","Other Industries"
"481","Motion Picture and Sound Recording Industries","76,960","Other Industries"
"482","Motion Picture and Sound Recording Industries","114,520","Other Industries"
"483","Motion Picture and Sound Recording Industries","114,520","Other Industries"
"484","Motion Picture and Video Industries","117,150","Other Industries"
"485","Motion Picture and Video Industries","117,150","Other Industries"
"486","Sound Recording Industries","88,510","Other Industries"
"487","Sound Recording Industries","88,510","Other Industries"
"488","Publishing Industries","75,260","Information, Communication, and Technology"
"489","Publishing Industries","94,020","Information, Communication, and Technology"
"490","Publishing Industries","120,830","Information, Communication, and Technology"
"491","Publishing Industries","128,870","Information, Communication, and Technology"
"492","Publishing Industries","128,870","Information, Communication, and Technology"
"493","Newspaper, Periodical, Book, and Directory Publishers","62,120","Other Industries"
"494","Newspaper, Periodical, Book, and Directory Publishers","74,410","Other Industries"
"495","Newspaper, Periodical, Book, and Directory Publishers","74,910","Other Industries"
"496","Newspaper, Periodical, Book, and Directory Publishers","109,780","Other Industries"
"497","Newspaper, Periodical, Book, and Directory Publishers","109,780","Other Industries"
"498","Software Publishers","81,300","Information, Communication, and Technology"
"499","Software Publishers","101,330","Information, Communication, and Technology"
"500","Software Publishers","131,840","Information, Communication, and Technology"
"501","Software Publishers","131,840","Information, Communication, and Technology"
"502","Broadcasting and Content Providers","57,900","Other Industries"
"503","Broadcasting and Content Providers","97,610","Other Industries"
"504","Broadcasting and Content Providers","130,640","Other Industries"
"505","Broadcasting and Content Providers","130,640","Other Industries"
"506","Radio and Television Broadcasting Stations","105,920","Other Industries"
"507","Radio and Television Broadcasting Stations","96,230","Other Industries"
"508","Radio and Television Broadcasting Stations","96,230","Other Industries"
"509","Television Broadcasting Stations","105,920","Other Industries"
"510","Television Broadcasting Stations","102,730","Other Industries"
"511","Television Broadcasting Stations","102,730","Other Industries"
"512","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","58,330","Other Industries"
"513","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","95,990","Other Industries"
"514","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","132,740","Other Industries"
"515","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","132,740","Other Industries"
"516","Telecommunications","109,300","Information, Communication, and Technology"
"517","Telecommunications","119,170","Information, Communication, and Technology"
"518","Telecommunications","119,170","Information, Communication, and Technology"
"519","Telecommunications","109,300","Information, Communication, and Technology"
"520","Telecommunications","119,170","Information, Communication, and Technology"
"521","Telecommunications","119,170","Information, Communication, and Technology"
"522","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","72,850","Information, Communication, and Technology"
"523","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","99,770","Information, Communication, and Technology"
"524","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","112,090","Information, Communication, and Technology"
"525","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100","Information, Communication, and Technology"
"526","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100","Information, Communication, and Technology"
"527","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","72,850","Information, Communication, and Technology"
"528","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","99,770","Information, Communication, and Technology"
"529","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","112,090","Information, Communication, and Technology"
"530","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100","Information, Communication, and Technology"
"531","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100","Information, Communication, and Technology"
"532","Web Search Portals, Libraries, Archives, and Other Information Services","119,070","Other Industries"
"533","Web Search Portals, Libraries, Archives, and Other Information Services","119,070","Other Industries"
"534","Monetary Authorities-Central Bank","58,740","Other Industries"
"535","Monetary Authorities-Central Bank","111,690","Other Industries"
"536","Monetary Authorities-Central Bank","111,690","Other Industries"
"537","Monetary Authorities-Central Bank","58,740","Other Industries"
"538","Monetary Authorities-Central Bank","111,690","Other Industries"
"539","Monetary Authorities-Central Bank","111,690","Other Industries"
"540","Credit Intermediation and Related Activities","74,600","Other Industries"
"541","Credit Intermediation and Related Activities","87,030","Other Industries"
"542","Credit Intermediation and Related Activities","108,330","Other Industries"
"543","Credit Intermediation and Related Activities","121,160","Other Industries"
"544","Credit Intermediation and Related Activities","121,160","Other Industries"
"545","Nondepository Credit Intermediation","82,410","Other Industries"
"546","Nondepository Credit Intermediation","98,840","Other Industries"
"547","Nondepository Credit Intermediation","98,820","Other Industries"
"548","Nondepository Credit Intermediation","122,830","Other Industries"
"549","Nondepository Credit Intermediation","122,830","Other Industries"
"550","Other Nondepository Credit Intermediation","87,480","Other Industries"
"551","Other Nondepository Credit Intermediation","86,050","Other Industries"
"552","Other Nondepository Credit Intermediation","104,370","Other Industries"
"553","Other Nondepository Credit Intermediation","118,820","Other Industries"
"554","Other Nondepository Credit Intermediation","118,820","Other Industries"
"555","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","107,440","Financial Services, Insurance, and Real Estate"
"556","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","113,150","Financial Services, Insurance, and Real Estate"
"557","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730","Financial Services, Insurance, and Real Estate"
"558","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730","Financial Services, Insurance, and Real Estate"
"559","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","107,440","Financial Services, Insurance, and Real Estate"
"560","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","113,150","Financial Services, Insurance, and Real Estate"
"561","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730","Financial Services, Insurance, and Real Estate"
"562","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730","Financial Services, Insurance, and Real Estate"
"563","Insurance Carriers and Related Activities","82,900","Financial Services, Insurance, and Real Estate"
"564","Insurance Carriers and Related Activities","87,540","Financial Services, Insurance, and Real Estate"
"565","Insurance Carriers and Related Activities","97,640","Financial Services, Insurance, and Real Estate"
"566","Insurance Carriers and Related Activities","109,880","Financial Services, Insurance, and Real Estate"
"567","Insurance Carriers and Related Activities","109,880","Financial Services, Insurance, and Real Estate"
"568","Insurance Carriers and Related Activities","73,740","Financial Services, Insurance, and Real Estate"
"569","Insurance Carriers","85,840","Financial Services, Insurance, and Real Estate"
"570","Insurance Carriers","89,500","Financial Services, Insurance, and Real Estate"
"571","Insurance Carriers","99,090","Financial Services, Insurance, and Real Estate"
"572","Insurance Carriers","111,130","Financial Services, Insurance, and Real Estate"
"573","Insurance Carriers","111,130","Financial Services, Insurance, and Real Estate"
"574","Insurance Carriers","74,020","Financial Services, Insurance, and Real Estate"
"575","Direct Health and Medical Insurance Carriers","76,590","Healthcare and Social Assistance"
"576","Direct Health and Medical Insurance Carriers","84,430","Healthcare and Social Assistance"
"577","Direct Health and Medical Insurance Carriers","101,390","Healthcare and Social Assistance"
"578","Direct Health and Medical Insurance Carriers","95,110","Healthcare and Social Assistance"
"579","Direct Health and Medical Insurance Carriers","95,110","Healthcare and Social Assistance"
"580","Direct Health and Medical Insurance Carriers","67,900","Healthcare and Social Assistance"
"581","Direct Insurance (except Life, Health, and Medical) Carriers","79,350","Healthcare and Social Assistance"
"582","Direct Insurance (except Life, Health, and Medical) Carriers","95,570","Healthcare and Social Assistance"
"583","Direct Insurance (except Life, Health, and Medical) Carriers","97,710","Healthcare and Social Assistance"
"584","Direct Insurance (except Life, Health, and Medical) Carriers","115,890","Healthcare and Social Assistance"
"585","Direct Insurance (except Life, Health, and Medical) Carriers","115,890","Healthcare and Social Assistance"
"586","Agencies, Brokerages, and Other Insurance Related Activities","77,580","Financial Services, Insurance, and Real Estate"
"587","Agencies, Brokerages, and Other Insurance Related Activities","79,730","Financial Services, Insurance, and Real Estate"
"588","Agencies, Brokerages, and Other Insurance Related Activities","92,500","Financial Services, Insurance, and Real Estate"
"589","Agencies, Brokerages, and Other Insurance Related Activities","107,200","Financial Services, Insurance, and Real Estate"
"590","Agencies, Brokerages, and Other Insurance Related Activities","107,200","Financial Services, Insurance, and Real Estate"
"591","Insurance Agencies and Brokerages","78,850","Financial Services, Insurance, and Real Estate"
"592","Insurance Agencies and Brokerages","80,920","Financial Services, Insurance, and Real Estate"
"593","Insurance Agencies and Brokerages","85,990","Financial Services, Insurance, and Real Estate"
"594","Insurance Agencies and Brokerages","118,650","Financial Services, Insurance, and Real Estate"
"595","Insurance Agencies and Brokerages","118,650","Financial Services, Insurance, and Real Estate"
"596","Other Insurance Related Activities","76,170","Financial Services, Insurance, and Real Estate"
"597","Other Insurance Related Activities","77,970","Financial Services, Insurance, and Real Estate"
"598","Other Insurance Related Activities","95,140","Financial Services, Insurance, and Real Estate"
"599","Other Insurance Related Activities","98,020","Financial Services, Insurance, and Real Estate"
"600","Other Insurance Related Activities","98,020","Financial Services, Insurance, and Real Estate"
"601","Funds, Trusts, and Other Financial Vehicles","77,650","Financial Services, Insurance, and Real Estate"
"602","Funds, Trusts, and Other Financial Vehicles","85,680","Financial Services, Insurance, and Real Estate"
"603","Funds, Trusts, and Other Financial Vehicles","85,680","Financial Services, Insurance, and Real Estate"
"604","Insurance and Employee Benefit Funds","72,890","Financial Services, Insurance, and Real Estate"
"605","Other Investment Pools and Funds","88,140","Other Industries"
"606","Real Estate","87,080","Financial Services, Insurance, and Real Estate"
"607","Real Estate","99,340","Financial Services, Insurance, and Real Estate"
"608","Real Estate","99,340","Financial Services, Insurance, and Real Estate"
"609","Real Estate","87,080","Financial Services, Insurance, and Real Estate"
"610","Real Estate","99,340","Financial Services, Insurance, and Real Estate"
"611","Real Estate","99,340","Financial Services, Insurance, and Real Estate"
"612","Rental and Leasing Services","46,330","Other Industries"
"613","Rental and Leasing Services","104,070","Other Industries"
"614","Rental and Leasing Services","104,070","Other Industries"
"615","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","82,440","Financial Services, Insurance, and Real Estate"
"616","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","82,440","Financial Services, Insurance, and Real Estate"
"617","Professional, Scientific, and Technical Services","101,540","Professional, Scientific, and Technical Services"
"618","Professional, Scientific, and Technical Services","105,540","Professional, Scientific, and Technical Services"
"619","Professional, Scientific, and Technical Services","115,850","Professional, Scientific, and Technical Services"
"620","Professional, Scientific, and Technical Services","113,450","Professional, Scientific, and Technical Services"
"621","Professional, Scientific, and Technical Services","113,450","Professional, Scientific, and Technical Services"
"622","Professional, Scientific, and Technical Services","86,390","Professional, Scientific, and Technical Services"
"623","Professional, Scientific, and Technical Services","105,180","Professional, Scientific, and Technical Services"
"624","Legal Services","70,090","Other Industries"
"625","Legal Services","111,720","Other Industries"
"626","Legal Services","95,300","Other Industries"
"627","Legal Services","91,770","Other Industries"
"628","Legal Services","91,770","Other Industries"
"629","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","83,120","Professional, Scientific, and Technical Services"
"630","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","85,910","Professional, Scientific, and Technical Services"
"631","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","126,730","Professional, Scientific, and Technical Services"
"632","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","126,730","Professional, Scientific, and Technical Services"
"633","Architectural, Engineering, and Related Services","119,780","Professional, Scientific, and Technical Services"
"634","Architectural, Engineering, and Related Services","108,130","Professional, Scientific, and Technical Services"
"635","Architectural, Engineering, and Related Services","96,990","Professional, Scientific, and Technical Services"
"636","Architectural, Engineering, and Related Services","92,970","Professional, Scientific, and Technical Services"
"637","Architectural, Engineering, and Related Services","92,970","Professional, Scientific, and Technical Services"
"638","Architectural, Engineering, and Related Services","73,640","Professional, Scientific, and Technical Services"
"639","Engineering Services","121,950","Professional, Scientific, and Technical Services"
"640","Engineering Services","112,190","Professional, Scientific, and Technical Services"
"641","Engineering Services","94,390","Professional, Scientific, and Technical Services"
"642","Engineering Services","95,190","Professional, Scientific, and Technical Services"
"643","Engineering Services","95,190","Professional, Scientific, and Technical Services"
"644","Engineering Services","85,850","Professional, Scientific, and Technical Services"
"645","Testing Laboratories and Services","67,560","Other Industries"
"646","Testing Laboratories and Services","70,870","Other Industries"
"647","Testing Laboratories and Services","70,870","Other Industries"
"648","Testing Laboratories and Services","68,100","Other Industries"
"649","Specialized Design Services","101,970","Other Industries"
"650","Specialized Design Services","101,970","Other Industries"
"651","Computer Systems Design and Related Services","96,880","Other Industries"
"652","Computer Systems Design and Related Services","98,290","Other Industries"
"653","Computer Systems Design and Related Services","120,890","Other Industries"
"654","Computer Systems Design and Related Services","117,800","Other Industries"
"655","Computer Systems Design and Related Services","117,800","Other Industries"
"656","Computer Systems Design and Related Services","76,920","Other Industries"
"657","Computer Systems Design and Related Services","106,670","Other Industries"
"658","Management, Scientific, and Technical Consulting Services","123,300","Professional, Scientific, and Technical Services"
"659","Management, Scientific, and Technical Consulting Services","114,490","Professional, Scientific, and Technical Services"
"660","Management, Scientific, and Technical Consulting Services","101,000","Professional, Scientific, and Technical Services"
"661","Management, Scientific, and Technical Consulting Services","110,450","Professional, Scientific, and Technical Services"
"662","Management, Scientific, and Technical Consulting Services","110,450","Professional, Scientific, and Technical Services"
"663","Management, Scientific, and Technical Consulting Services","86,610","Professional, Scientific, and Technical Services"
"664","Management, Scientific, and Technical Consulting Services","84,460","Professional, Scientific, and Technical Services"
"665","Scientific Research and Development Services","118,150","Professional, Scientific, and Technical Services"
"666","Scientific Research and Development Services","110,800","Professional, Scientific, and Technical Services"
"667","Scientific Research and Development Services","122,600","Professional, Scientific, and Technical Services"
"668","Scientific Research and Development Services","125,620","Professional, Scientific, and Technical Services"
"669","Scientific Research and Development Services","125,620","Professional, Scientific, and Technical Services"
"670","Scientific Research and Development Services","95,480","Professional, Scientific, and Technical Services"
"671","Scientific Research and Development Services","110,890","Professional, Scientific, and Technical Services"
"672","Research and Development in the Physical, Engineering, and Life Sciences","129,630","Professional, Scientific, and Technical Services"
"673","Research and Development in the Physical, Engineering, and Life Sciences","111,750","Professional, Scientific, and Technical Services"
"674","Research and Development in the Physical, Engineering, and Life Sciences","124,400","Professional, Scientific, and Technical Services"
"675","Research and Development in the Physical, Engineering, and Life Sciences","126,280","Professional, Scientific, and Technical Services"
"676","Research and Development in the Physical, Engineering, and Life Sciences","126,280","Professional, Scientific, and Technical Services"
"677","Research and Development in the Physical, Engineering, and Life Sciences","96,130","Professional, Scientific, and Technical Services"
"678","Research and Development in the Physical, Engineering, and Life Sciences","110,830","Professional, Scientific, and Technical Services"
"679","Research and Development in the Social Sciences and Humanities","63,950","Other Industries"
"680","Research and Development in the Social Sciences and Humanities","106,520","Other Industries"
"681","Research and Development in the Social Sciences and Humanities","103,080","Other Industries"
"682","Research and Development in the Social Sciences and Humanities","113,940","Other Industries"
"683","Research and Development in the Social Sciences and Humanities","113,940","Other Industries"
"684","Research and Development in the Social Sciences and Humanities","122,290","Other Industries"
"685","Advertising, Public Relations, and Related Services","68,530","Other Industries"
"686","Advertising, Public Relations, and Related Services","91,100","Other Industries"
"687","Advertising, Public Relations, and Related Services","98,920","Other Industries"
"688","Advertising, Public Relations, and Related Services","100,390","Other Industries"
"689","Advertising, Public Relations, and Related Services","100,390","Other Industries"
"690","Other Professional, Scientific, and Technical Services","110,190","Professional, Scientific, and Technical Services"
"691","Other Professional, Scientific, and Technical Services","77,070","Professional, Scientific, and Technical Services"
"692","Other Professional, Scientific, and Technical Services","92,490","Professional, Scientific, and Technical Services"
"693","Other Professional, Scientific, and Technical Services","95,980","Professional, Scientific, and Technical Services"
"694","Other Professional, Scientific, and Technical Services","95,980","Professional, Scientific, and Technical Services"
"695","Other Professional, Scientific, and Technical Services","77,160","Professional, Scientific, and Technical Services"
"696","Other Professional, Scientific, and Technical Services","121,740","Professional, Scientific, and Technical Services"
"697","Management of Companies and Enterprises","88,050","Other Industries"
"698","Management of Companies and Enterprises","99,730","Other Industries"
"699","Management of Companies and Enterprises","106,820","Other Industries"
"700","Management of Companies and Enterprises","113,920","Other Industries"
"701","Management of Companies and Enterprises","113,920","Other Industries"
"702","Management of Companies and Enterprises","92,780","Other Industries"
"703","Management of Companies and Enterprises","107,290","Other Industries"
"704","Management of Companies and Enterprises","88,050","Other Industries"
"705","Management of Companies and Enterprises","99,730","Other Industries"
"706","Management of Companies and Enterprises","106,820","Other Industries"
"707","Management of Companies and Enterprises","113,920","Other Industries"
"708","Management of Companies and Enterprises","113,920","Other Industries"
"709","Management of Companies and Enterprises","92,780","Other Industries"
"710","Management of Companies and Enterprises","107,290","Other Industries"
"711","Administrative and Support Services","67,870","Other Industries"
"712","Administrative and Support Services","72,090","Other Industries"
"713","Administrative and Support Services","93,300","Other Industries"
"714","Administrative and Support Services","97,410","Other Industries"
"715","Administrative and Support Services","97,410","Other Industries"
"716","Administrative and Support Services","87,420","Other Industries"
"717","Administrative and Support Services","76,580","Other Industries"
"718","Office Administrative Services","91,190","Other Industries"
"719","Office Administrative Services","96,820","Other Industries"
"720","Office Administrative Services","96,820","Other Industries"
"721","Office Administrative Services","99,130","Other Industries"
"722","Facilities Support Services","68,760","Other Industries"
"723","Facilities Support Services","85,400","Other Industries"
"724","Facilities Support Services","85,400","Other Industries"
"725","Employment Services","68,110","Other Industries"
"726","Employment Services","97,150","Other Industries"
"727","Employment Services","99,870","Other Industries"
"728","Employment Services","99,870","Other Industries"
"729","Employment Services","78,070","Other Industries"
"730","Employment Services","75,980","Other Industries"
"731","Temporary Help Services","69,000","Other Industries"
"732","Temporary Help Services","66,420","Other Industries"
"733","Temporary Help Services","88,960","Other Industries"
"734","Temporary Help Services","93,320","Other Industries"
"735","Temporary Help Services","93,320","Other Industries"
"736","Temporary Help Services","72,500","Other Industries"
"737","Temporary Help Services","79,260","Other Industries"
"738","Business Support Services","73,770","Other Industries"
"739","Business Support Services","72,640","Other Industries"
"740","Business Support Services","84,560","Other Industries"
"741","Business Support Services","84,560","Other Industries"
"742","Travel Arrangement and Reservation Services","80,590","Other Industries"
"743","Travel Arrangement and Reservation Services","68,810","Other Industries"
"744","Travel Arrangement and Reservation Services","101,880","Other Industries"
"745","Travel Arrangement and Reservation Services","101,880","Other Industries"
"746","Investigation and Security Services","58,710","Other Industries"
"747","Investigation and Security Services","99,370","Other Industries"
"748","Investigation and Security Services","99,370","Other Industries"
"749","Investigation, Guard, and Armored Car Services","78,290","Other Industries"
"750","Investigation, Guard, and Armored Car Services","78,290","Other Industries"
"751","Security Systems Services","123,900","Other Industries"
"752","Security Systems Services","123,900","Other Industries"
"753","Other Support Services","96,020","Other Industries"
"754","Other Support Services","53,720","Other Industries"
"755","Other Support Services","89,510","Other Industries"
"756","Other Support Services","89,510","Other Industries"
"757","Waste Management and Remediation Services","82,720","Other Industries"
"758","Waste Management and Remediation Services","92,360","Other Industries"
"759","Waste Collection","87,840","Other Industries"
"760","Remediation and Other Waste Management Services","89,420","Other Industries"
"761","Educational Services","65,460","Other Industries"
"762","Educational Services","81,200","Other Industries"
"763","Educational Services","83,480","Other Industries"
"764","Educational Services","84,070","Other Industries"
"765","Educational Services","84,070","Other Industries"
"766","Educational Services","74,230","Other Industries"
"767","Educational Services","69,120","Other Industries"
"768","Educational Services","64,200","Other Industries"
"769","Educational Services","62,370","Other Industries"
"770","Educational Services","68,430","Other Industries"
"771","Educational Services","70,100","Other Industries"
"772","Educational Services","70,660","Other Industries"
"773","Educational Services","99,150","Other Industries"
"774","Educational Services","78,270","Other Industries"
"775","Educational Services","67,750","Other Industries"
"776","Educational Services","93,360","Other Industries"
"777","Educational Services","76,960","Other Industries"
"778","Educational Services","97,860","Other Industries"
"779","Educational Services","86,280","Other Industries"
"780","Educational Services","76,960","Other Industries"
"781","Educational Services","97,860","Other Industries"
"782","Educational Services","86,280","Other Industries"
"783","Educational Services","66,100","Other Industries"
"784","Educational Services","78,240","Other Industries"
"785","Educational Services","67,670","Other Industries"
"786","Educational Services","63,570","Other Industries"
"787","Educational Services","70,580","Other Industries"
"788","Elementary and Secondary Schools","66,440","Other Industries"
"789","Elementary and Secondary Schools","70,520","Other Industries"
"790","Elementary and Secondary Schools","75,280","Other Industries"
"791","Elementary and Secondary Schools","100,240","Other Industries"
"792","Elementary and Secondary Schools","100,240","Other Industries"
"793","Elementary and Secondary Schools","66,700","Other Industries"
"794","Elementary and Secondary Schools","64,360","Other Industries"
"795","Elementary and Secondary Schools","70,830","Other Industries"
"796","Elementary and Secondary Schools","63,010","Other Industries"
"797","Elementary and Secondary Schools","73,460","Other Industries"
"798","Elementary and Secondary Schools","105,510","Other Industries"
"799","Elementary and Secondary Schools","69,010","Other Industries"
"800","Elementary and Secondary Schools","105,510","Other Industries"
"801","Elementary and Secondary Schools","69,010","Other Industries"
"802","Junior Colleges","54,530","Other Industries"
"803","Junior Colleges","68,260","Other Industries"
"804","Junior Colleges","62,610","Other Industries"
"805","Junior Colleges","73,740","Other Industries"
"806","Junior Colleges","73,740","Other Industries"
"807","Junior Colleges","57,330","Other Industries"
"808","Junior Colleges","54,240","Other Industries"
"809","Junior Colleges","45,120","Other Industries"
"810","Junior Colleges","68,780","Other Industries"
"811","Junior Colleges","68,090","Other Industries"
"812","Junior Colleges","61,490","Other Industries"
"813","Junior Colleges","65,730","Other Industries"
"814","Junior Colleges","80,180","Other Industries"
"815","Junior Colleges","70,640","Other Industries"
"816","Junior Colleges","80,180","Other Industries"
"817","Junior Colleges","70,640","Other Industries"
"818","Colleges, Universities, and Professional Schools","67,010","Other Industries"
"819","Colleges, Universities, and Professional Schools","71,560","Other Industries"
"820","Colleges, Universities, and Professional Schools","84,550","Other Industries"
"821","Colleges, Universities, and Professional Schools","78,550","Other Industries"
"822","Colleges, Universities, and Professional Schools","78,550","Other Industries"
"823","Colleges, Universities, and Professional Schools","71,150","Other Industries"
"824","Colleges, Universities, and Professional Schools","69,270","Other Industries"
"825","Colleges, Universities, and Professional Schools","64,810","Other Industries"
"826","Colleges, Universities, and Professional Schools","64,900","Other Industries"
"827","Colleges, Universities, and Professional Schools","70,720","Other Industries"
"828","Colleges, Universities, and Professional Schools","69,970","Other Industries"
"829","Colleges, Universities, and Professional Schools","75,290","Other Industries"
"830","Colleges, Universities, and Professional Schools","78,990","Other Industries"
"831","Colleges, Universities, and Professional Schools","56,840","Other Industries"
"832","Colleges, Universities, and Professional Schools","94,230","Other Industries"
"833","Colleges, Universities, and Professional Schools","76,930","Other Industries"
"834","Colleges, Universities, and Professional Schools","81,550","Other Industries"
"835","Colleges, Universities, and Professional Schools","76,930","Other Industries"
"836","Colleges, Universities, and Professional Schools","81,550","Other Industries"
"837","Colleges, Universities, and Professional Schools","68,920","Other Industries"
"838","Colleges, Universities, and Professional Schools","73,410","Other Industries"
"839","Colleges, Universities, and Professional Schools","67,670","Other Industries"
"840","Colleges, Universities, and Professional Schools","63,950","Other Industries"
"841","Colleges, Universities, and Professional Schools","70,860","Other Industries"
"842","Business Schools and Computer and Management Training","67,890","Other Industries"
"843","Business Schools and Computer and Management Training","164,550","Other Industries"
"844","Business Schools and Computer and Management Training","92,520","Other Industries"
