"","NAICS_TITLE","A_MEAN","category"
"102","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","82,840","Healthcare and Social Assistance"
"103","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","67,920","Healthcare and Social Assistance"
"104","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","87,000","Healthcare and Social Assistance"
"105","Support Activities for Agriculture and Forestry","89,600","Other Industries"
"106","Oil and Gas Extraction","141,240","Other Industries"
"107","Oil and Gas Extraction","115,170","Other Industries"
"108","Oil and Gas Extraction","130,950","Other Industries"
"109","Oil and Gas Extraction","130,950","Other Industries"
"110","Oil and Gas Extraction","141,240","Other Industries"
"111","Oil and Gas Extraction","115,170","Other Industries"
"112","Oil and Gas Extraction","130,950","Other Industries"
"113","Oil and Gas Extraction","130,950","Other Industries"
"114","Support Activities for Mining","115,710","Other Industries"
"115","Support Activities for Mining","108,830","Other Industries"
"116","Support Activities for Mining","108,830","Other Industries"
"117","Support Activities for Mining","115,710","Other Industries"
"118","Support Activities for Mining","108,830","Other Industries"
"119","Support Activities for Mining","108,830","Other Industries"
"120","Utilities","119,740","Other Industries"
"121","Utilities","113,150","Other Industries"
"122","Utilities","102,610","Other Industries"
"123","Utilities","102,610","Other Industries"
"124","Utilities","65,370","Other Industries"
"125","Utilities","106,540","Other Industries"
"126","Electric Power Generation, Transmission and Distribution","128,900","Other Industries"
"127","Electric Power Generation, Transmission and Distribution","102,120","Other Industries"
"128","Electric Power Generation, Transmission and Distribution","93,720","Other Industries"
"129","Electric Power Generation, Transmission and Distribution","93,720","Other Industries"
"130","Electric Power Generation, Transmission and Distribution","65,370","Other Industries"
"131","Electric Power Generation, Transmission and Distribution","89,550","Other Industries"
"132","Fossil Fuel Electric Power Generation","92,300","Other Industries"
"133","Fossil Fuel Electric Power Generation","114,820","Other Industries"
"134","Fossil Fuel Electric Power Generation","114,820","Other Industries"
"135","Nuclear Electric Power Generation","92,860","Other Industries"
"136","Natural Gas Distribution","111,560","Other Industries"
"137","Natural Gas Distribution","128,150","Other Industries"
"138","Natural Gas Distribution","130,040","Other Industries"
"139","Natural Gas Distribution","130,040","Other Industries"
"140","Construction of Buildings","93,310","Manufacturing and Construction"
"141","Construction of Buildings","85,940","Manufacturing and Construction"
"142","Construction of Buildings","87,070","Manufacturing and Construction"
"143","Construction of Buildings","87,070","Manufacturing and Construction"
"144","Residential Building Construction","91,920","Manufacturing and Construction"
"145","Nonresidential Building Construction","99,810","Manufacturing and Construction"
"146","Heavy and Civil Engineering Construction","95,770","Manufacturing and Construction"
