NAICS_TITLE,A_MEAN
Electrical Contractors and Other Wiring Installation Contractors,"79,200"
Electrical Contractors and Other Wiring Installation Contractors,"55,490"
Electrical Contractors and Other Wiring Installation Contractors,"89,970"
Electrical Contractors and Other Wiring Installation Contractors,"89,970"
"Plumbing, Heating, and Air-Conditioning Contractors","47,100"
Other Building Equipment Contractors,"105,690"
Other Building Equipment Contractors,"105,690"
Food Manufacturing,"83,710"
Food Manufacturing,"87,110"
Food Manufacturing,"83,950"
Food Manufacturing,"83,950"
Grain and Oilseed Milling,"75,350"
Grain and Oilseed Milling,"91,050"
Animal Slaughtering and Processing,"78,920"
Animal Slaughtering and Processing,"78,920"
Bakeries and Tortilla Manufacturing,"54,120"
Bakeries and Tortilla Manufacturing,"54,120"
Other Food Manufacturing,"80,410"
Other Food Manufacturing,"80,410"
Beverage and Tobacco Product Manufacturing,"77,850"
Beverage and Tobacco Product Manufacturing,"83,870"
Beverage and Tobacco Product Manufacturing,"94,780"
Beverage and Tobacco Product Manufacturing,"94,780"
Beverage Manufacturing,"77,850"
Beverage Manufacturing,"85,490"
Beverage Manufacturing,"94,100"
Beverage Manufacturing,"94,100"
Paper Manufacturing,"86,790"
Paper Manufacturing,"112,100"
Paper Manufacturing,"87,840"
Paper Manufacturing,"87,840"
Converted Paper Product Manufacturing,"85,440"
Converted Paper Product Manufacturing,*
Printing and Related Support Activities,"66,030"
Printing and Related Support Activities,"60,300"
Printing and Related Support Activities,*
Printing and Related Support Activities,*
Printing and Related Support Activities,"66,030"
Printing and Related Support Activities,"60,300"
Printing and Related Support Activities,*
Printing and Related Support Activities,*
Petroleum and Coal Products Manufacturing,"104,160"
Petroleum and Coal Products Manufacturing,"128,600"
Petroleum and Coal Products Manufacturing,"104,160"
Petroleum and Coal Products Manufacturing,"128,600"
Chemical Manufacturing,"117,560"
Chemical Manufacturing,"94,920"
Chemical Manufacturing,"160,260"
Chemical Manufacturing,"124,820"
Chemical Manufacturing,"124,820"
Chemical Manufacturing,"110,020"
Pharmaceutical and Medicine Manufacturing,"123,700"
Pharmaceutical and Medicine Manufacturing,"96,000"
Pharmaceutical and Medicine Manufacturing,"162,400"
Pharmaceutical and Medicine Manufacturing,"128,960"
Pharmaceutical and Medicine Manufacturing,"128,960"
Pharmaceutical and Medicine Manufacturing,"110,010"
Plastics and Rubber Products Manufacturing,"73,680"
Plastics and Rubber Products Manufacturing,"101,270"
Plastics and Rubber Products Manufacturing,"71,450"
Plastics and Rubber Products Manufacturing,"71,450"
Plastics Product Manufacturing,"72,460"
Plastics Product Manufacturing,"105,880"
Plastics Product Manufacturing,"70,930"
Plastics Product Manufacturing,"70,930"
Nonmetallic Mineral Product Manufacturing,"95,150"
Nonmetallic Mineral Product Manufacturing,"95,150"
Nonmetallic Mineral Product Manufacturing,"95,150"
Nonmetallic Mineral Product Manufacturing,"95,150"
Primary Metal Manufacturing,"84,480"
Primary Metal Manufacturing,"93,830"
Primary Metal Manufacturing,"93,830"
Fabricated Metal Product Manufacturing,"78,700"
Fabricated Metal Product Manufacturing,"82,550"
Fabricated Metal Product Manufacturing,"85,200"
Fabricated Metal Product Manufacturing,"85,200"
Machinery Manufacturing,"82,660"
Machinery Manufacturing,"108,560"
Machinery Manufacturing,"96,290"
Machinery Manufacturing,"96,290"
Commercial and Service Industry Machinery Manufacturing,"108,880"
Commercial and Service Industry Machinery Manufacturing,"108,880"
Metalworking Machinery Manufacturing,"82,640"
Metalworking Machinery Manufacturing,"82,640"
